Trade ID,Price,Quantity,First Trade ID,Last Trade ID,Time
128688067,343.04000000,2.66700000,172942520,172942520,1736091252904
128688068,343.00000000,0.88000000,172942521,172942522,1736091252957
128688069,343.05000000,0.72800000,172942523,172942525,1736091259132
128688070,343.03000000,0.10000000,172942526,172942526,1736091259643
128688071,343.01000000,0.20100000,172942527,172942527,1736091262137
128688072,343.00000000,0.02100000,172942528,172942528,1736091266664
128688073,342.91000000,2.27600000,172942529,172942531,1736091267165
128688074,342.90000000,0.42000000,172942532,172942533,1736091270137
128688075,342.80000000,0.02100000,172942534,172942534,1736091274952
128688076,342.74000000,1.66000000,172942535,172942536,1736091276159
128688077,342.74000000,1.22500000,172942537,172942537,1736091276159
128688078,342.74000000,2.45100000,172942538,172942538,1736091276159
128688079,342.79000000,0.70600000,172942539,172942539,1736091276159
128688080,342.79000000,0.06800000,172942540,172942540,1736091279141
128688081,342.80000000,0.46700000,172942541,172942543,1736091279326
128688082,342.82000000,0.31100000,172942544,172942544,1736091279485
128688083,342.82000000,0.43500000,172942545,172942546,1736091279884
128688084,342.81000000,0.19300000,172942547,172942547,1736091280687
128688085,342.81000000,0.65300000,172942548,172942548,1736091280725
128688086,342.81000000,0.50100000,172942549,172942551,1736091282026
128688087,342.82000000,1.32900000,172942552,172942553,1736091285323
128688088,342.82000000,0.38500000,172942554,172942554,1736091285326
128688089,342.80000000,0.02100000,172942555,172942555,1736091293919
128688090,342.79000000,0.95600000,172942556,172942556,1736091298409
128688091,342.77000000,0.39900000,172942557,172942557,1736091298409
128688092,342.75000000,1.41000000,172942558,172942559,1736091298409
128688093,342.74000000,4.96500000,172942560,172942563,1736091298409
128688094,342.73000000,0.67100000,172942564,172942565,1736091298409
128688095,342.80000000,0.02100000,172942566,172942566,1736091304161
128688096,342.82000000,1.28600000,172942567,172942567,1736091304162
128688097,342.83000000,0.29300000,172942568,172942568,1736091304165
128688098,342.86000000,2.82400000,172942569,172942571,1736091305099
128688099,342.85000000,1.20500000,172942572,172942572,1736091305099
128688100,342.84000000,1.90600000,172942573,172942574,1736091305099
128688101,342.83000000,1.34400000,172942575,172942576,1736091305099
128688102,342.82000000,3.59000000,172942577,172942577,1736091305099
128688103,342.81000000,4.53500000,172942578,172942578,1736091305099
128688104,342.88000000,0.09200000,172942579,172942579,1736091306920
128688105,342.88000000,0.18400000,172942580,172942580,1736091306920
128688106,342.90000000,0.14400000,172942581,172942581,1736091306923
128688107,342.90000000,0.57900000,172942582,172942582,1736091306924
128688108,342.90000000,2.02900000,172942583,172942585,1736091307424
128688109,342.93000000,0.13100000,172942586,172942586,1736091307455
128688110,342.98000000,0.04400000,172942587,172942587,1736091308410
128688111,342.98000000,0.39900000,172942588,172942588,1736091308777
128688112,342.99000000,0.34900000,172942589,172942589,1736091308777
128688113,342.91000000,0.36300000,172942590,172942590,1736091312302
128688114,342.90000000,0.96600000,172942591,172942592,1736091313402
128688115,342.88000000,0.02200000,172942593,172942593,1736091313402
128688116,342.87000000,1.01200000,172942594,172942594,1736091313402
128688117,342.86000000,3.37200000,172942595,172942596,1736091313402
128688118,342.85000000,0.02200000,172942597,172942597,1736091313402
128688119,342.84000000,1.55400000,172942598,172942599,1736091313402
128688120,342.83000000,1.89000000,172942600,172942601,1736091313402
128688121,342.82000000,0.16900000,172942602,172942603,1736091313402
128688122,342.80000000,0.02100000,172942604,172942604,1736091316395
128688123,342.74000000,1.06700000,172942605,172942606,1736091317320
128688124,342.74000000,0.45700000,172942607,172942607,1736091318479
128688125,342.73000000,2.72900000,172942608,172942608,1736091318840
128688126,342.71000000,2.24300000,172942609,172942610,1736091318845
128688127,342.70000000,0.02100000,172942611,172942611,1736091320158
128688128,342.69000000,0.02300000,172942612,172942612,1736091320158
128688129,342.70000000,1.70100000,172942613,172942614,1736091320316
128688130,342.70000000,0.46500000,172942615,172942615,1736091320317
128688131,342.70000000,1.66600000,172942616,172942617,1736091320317
128688132,342.70000000,0.65800000,172942618,172942619,1736091320320
128688133,342.78000000,0.01400000,172942620,172942620,1736091320821
128688134,342.71000000,1.50100000,172942621,172942622,1736091321254
128688135,342.70000000,1.05800000,172942623,172942624,1736091323702
128688136,342.69000000,0.57900000,172942625,172942625,1736091323704
128688137,342.70000000,0.02100000,172942626,172942626,1736091331527
128688138,342.71000000,0.10400000,172942627,172942627,1736091331528
128688139,342.77000000,0.24500000,172942628,172942629,1736091334126
128688140,342.79000000,4.91000000,172942630,172942631,1736091337899
128688141,342.77000000,0.28900000,172942632,172942632,1736091340369
128688142,342.76000000,1.08000000,172942633,172942633,1736091341833
128688143,342.71000000,0.42900000,172942634,172942634,1736091344619
128688144,342.76000000,0.39900000,172942635,172942635,1736091346262
128688145,342.78000000,0.39900000,172942636,172942636,1736091346262
128688146,342.80000000,0.99100000,172942637,172942639,1736091346262
128688147,342.71000000,2.28600000,172942640,172942642,1736091350380
128688148,342.72000000,2.57300000,172942643,172942645,1736091350380
128688149,342.73000000,2.28600000,172942646,172942648,1736091350380
128688150,342.75000000,0.42100000,172942649,172942650,1736091350380
128688151,342.77000000,0.39900000,172942651,172942651,1736091350380
128688152,342.78000000,2.34500000,172942652,172942654,1736091350380
128688153,342.79000000,1.02100000,172942655,172942656,1736091350380
128688154,342.80000000,4.06100000,172942657,172942661,1736091350380
128688155,342.75000000,0.94500000,172942662,172942662,1736091350534
128688156,342.80000000,0.96600000,172942663,172942664,1736091350534
128688157,342.81000000,3.11600000,172942665,172942665,1736091350534
128688158,342.82000000,1.00000000,172942666,172942666,1736091350535
128688159,342.84000000,0.94500000,172942667,172942667,1736091350535
128688160,342.87000000,0.05500000,172942668,172942668,1736091350535
128688161,342.87000000,1.53400000,172942669,172942672,1736091353370
128688162,342.88000000,0.03300000,172942673,172942673,1736091359313
128688163,342.88000000,0.27900000,172942674,172942675,1736091367153
128688164,342.89000000,0.22400000,172942676,172942678,1736091367562
128688165,342.90000000,0.28900000,172942679,172942681,1736091368294
128688166,342.93000000,0.31900000,172942682,172942683,1736091368299
128688167,342.94000000,0.77300000,172942684,172942684,1736091368302
128688168,342.96000000,0.14400000,172942685,172942686,1736091368378
128688169,342.98000000,0.67900000,172942687,172942687,1736091368417
128688170,343.00000000,0.31000000,172942688,172942690,1736091368441
128688171,343.07000000,1.31100000,172942691,172942692,1736091373399
128688172,343.06000000,4.79200000,172942693,172942694,1736091373399
128688173,343.05000000,2.62500000,172942695,172942697,1736091373399
128688174,343.05000000,1.84100000,172942698,172942698,1736091376604
128688175,343.00000000,0.02100000,172942699,172942699,1736091376739
128688176,342.95000000,0.08900000,172942700,172942700,1736091385011
128688177,343.00000000,0.02100000,172942701,172942701,1736091388550
128688178,343.05000000,0.02200000,172942702,172942702,1736091388550
128688179,343.07000000,1.07200000,172942703,172942703,1736091391471
128688180,343.06000000,3.60500000,172942704,172942704,1736091391471
128688181,343.05000000,0.95700000,172942705,172942705,1736091391473
128688182,343.08000000,0.01600000,172942706,172942706,1736091392663
128688183,343.07000000,1.97600000,172942707,172942708,1736091393756
128688184,343.08000000,0.14000000,172942709,172942710,1736091393759
128688185,343.09000000,4.34700000,172942711,172942711,1736091393785
128688186,343.09000000,0.19300000,172942712,172942712,1736091393827
128688187,343.09000000,0.86300000,172942713,172942713,1736091393844
128688188,343.09000000,10.16300000,172942714,172942714,1736091393932
128688189,343.07000000,1.94200000,172942715,172942716,1736091396224
128688190,343.08000000,3.10700000,172942717,172942721,1736091396224
128688191,343.09000000,0.97800000,172942722,172942722,1736091396224
128688192,343.10000000,1.47500000,172942723,172942725,1736091396224
128688193,343.11000000,0.02200000,172942726,172942726,1736091396224
128688194,343.12000000,0.62200000,172942727,172942727,1736091396224
128688195,343.13000000,0.13700000,172942728,172942728,1736091396224
128688196,343.15000000,0.21600000,172942729,172942729,1736091398582
128688197,343.17000000,0.24600000,172942730,172942731,1736091398582
128688198,343.18000000,0.70100000,172942732,172942732,1736091398582
128688199,343.19000000,0.62200000,172942733,172942733,1736091398582
128688200,343.20000000,1.71300000,172942734,172942738,1736091398582
128688201,343.22000000,1.33900000,172942739,172942739,1736091398582
128688202,343.23000000,5.16300000,172942740,172942743,1736091398582
128688203,343.21000000,0.29200000,172942744,172942744,1736091399377
128688204,343.15000000,0.39900000,172942745,172942745,1736091405057
128688205,343.14000000,0.91800000,172942746,172942746,1736091405057
128688206,343.13000000,0.94500000,172942747,172942747,1736091405057
128688207,343.12000000,0.65200000,172942748,172942750,1736091405057
128688208,343.10000000,0.02100000,172942751,172942751,1736091405990
128688209,343.05000000,2.56300000,172942752,172942752,1736091405992
128688210,343.01000000,0.15900000,172942753,172942753,1736091406568
128688211,343.01000000,0.31600000,172942754,172942754,1736091407449
128688212,343.00000000,0.02100000,172942755,172942755,1736091408399
128688213,342.97000000,0.02200000,172942756,172942756,1736091408399
128688214,342.96000000,1.52300000,172942757,172942757,1736091408399
128688215,342.95000000,0.39900000,172942758,172942758,1736091408399
128688216,342.94000000,2.01900000,172942759,172942761,1736091408399
128688217,342.93000000,0.94500000,172942762,172942762,1736091408399
128688218,342.92000000,1.52100000,172942763,172942763,1736091408399
128688219,342.95000000,2.01600000,172942764,172942764,1736091412014
128688220,342.95000000,0.24800000,172942765,172942765,1736091412017
128688221,342.95000000,1.57500000,172942766,172942766,1736091412859
128688222,342.94000000,0.58300000,172942767,172942767,1736091414511
128688223,342.92000000,0.39900000,172942768,172942768,1736091415703
128688224,342.91000000,0.09300000,172942769,172942769,1736091415703
128688225,342.94000000,0.51700000,172942770,172942770,1736091417086
128688226,342.98000000,0.15500000,172942771,172942772,1736091419688
128688227,343.00000000,0.02100000,172942773,172942773,1736091420429
128688228,343.10000000,0.16400000,172942774,172942775,1736091422764
128688229,343.13000000,0.24400000,172942776,172942776,1736091422764
128688230,343.14000000,0.12400000,172942777,172942778,1736091422765
128688231,343.15000000,0.06400000,172942779,172942779,1736091428298
128688232,343.15000000,0.51800000,172942780,172942780,1736091428350
128688233,343.18000000,2.32500000,172942781,172942783,1736091433399
128688234,343.17000000,2.50700000,172942784,172942786,1736091433399
128688235,343.16000000,1.28700000,172942787,172942788,1736091433399
128688236,343.15000000,1.75600000,172942789,172942789,1736091433399
128688237,343.13000000,0.91800000,172942790,172942790,1736091438477
128688238,343.19000000,0.04200000,172942791,172942791,1736091439767
128688239,343.20000000,0.02100000,172942792,172942792,1736091441986
128688240,343.22000000,0.11700000,172942793,172942793,1736091442894
128688241,343.22000000,0.17400000,172942794,172942794,1736091442894
128688242,343.26000000,0.05900000,172942795,172942795,1736091443932
128688243,343.21000000,0.72000000,172942796,172942796,1736091448514
128688244,343.21000000,0.03800000,172942797,172942797,1736091449003
128688245,343.26000000,0.32400000,172942798,172942799,1736091451734
128688246,343.26000000,0.00400000,172942800,172942800,1736091451734
128688247,343.30000000,0.02100000,172942801,172942801,1736091451743
128688248,343.31000000,0.16200000,172942802,172942802,1736091451743
128688249,343.31000000,0.02400000,172942803,172942803,1736091452078
128688250,343.37000000,0.20700000,172942804,172942805,1736091455578
128688251,343.38000000,0.03800000,172942806,172942806,1736091457432
128688252,343.37000000,0.58200000,172942807,172942807,1736091459791
128688253,343.31000000,1.89000000,172942808,172942809,1736091463372
128688254,343.34000000,0.94500000,172942810,172942810,1736091463373
128688255,343.35000000,0.94500000,172942811,172942811,1736091463373
128688256,343.36000000,0.70100000,172942812,172942812,1736091463405
128688257,343.35000000,0.62200000,172942813,172942813,1736091463405
128688258,343.34000000,2.15000000,172942814,172942815,1736091463405
128688259,343.33000000,1.89600000,172942816,172942818,1736091463405
128688260,343.32000000,2.74000000,172942819,172942822,1736091463405
128688261,343.31000000,2.86000000,172942823,172942827,1736091463405
128688262,343.39000000,0.01900000,172942828,172942828,1736091467039
128688263,343.36000000,1.18200000,172942829,172942829,1736091468373
128688264,343.34000000,2.84900000,172942830,172942830,1736091468374
128688265,343.31000000,0.14400000,172942831,172942831,1736091468375
128688266,343.30000000,0.98800000,172942832,172942834,1736091468375
128688267,343.30000000,0.02100000,172942835,172942835,1736091470483
128688268,343.30000000,0.04500000,172942836,172942837,1736091478400
128688269,343.28000000,5.20100000,172942838,172942839,1736091478400
128688270,343.27000000,1.90800000,172942840,172942842,1736091478400
128688271,343.24000000,0.96700000,172942843,172942844,1736091478400
128688272,343.23000000,1.29800000,172942845,172942845,1736091478400
128688273,343.22000000,2.46000000,172942846,172942846,1736091478400
128688274,343.21000000,0.70000000,172942847,172942847,1736091478721
128688275,343.20000000,0.96600000,172942848,172942849,1736091478721
128688276,343.21000000,0.58200000,172942850,172942850,1736091483493
128688277,343.20000000,0.02100000,172942851,172942851,1736091484533
128688278,343.16000000,0.29900000,172942852,172942852,1736091489099
128688279,343.20000000,0.02100000,172942853,172942853,1736091489938
128688280,343.20000000,0.60300000,172942854,172942855,1736091498535
128688281,343.16000000,0.39900000,172942856,172942856,1736091502069
128688282,343.15000000,0.60100000,172942857,172942857,1736091502069
128688283,343.15000000,1.28900000,172942858,172942859,1736091502069
128688284,343.13000000,2.85100000,172942860,172942860,1736091502069
128688285,343.11000000,1.00000000,172942861,172942861,1736091502070
128688286,343.10000000,0.02100000,172942862,172942862,1736091502072
128688287,343.09000000,0.88500000,172942863,172942863,1736091503346
128688288,343.10000000,0.01700000,172942864,172942864,1736091503346
128688289,343.04000000,0.33100000,172942865,172942865,1736091511145
128688290,343.05000000,0.08300000,172942866,172942866,1736091515701
128688291,343.03000000,0.22200000,172942867,172942867,1736091518042
128688292,343.02000000,0.18300000,172942868,172942868,1736091518042
128688293,343.00000000,0.04300000,172942869,172942870,1736091518046
128688294,342.98000000,3.90700000,172942871,172942872,1736091518050
128688295,342.91000000,1.00000000,172942873,172942875,1736091519363
128688296,342.90000000,1.91100000,172942876,172942878,1736091522645
128688297,342.86000000,0.96700000,172942879,172942879,1736091522645
128688298,342.85000000,0.20500000,172942880,172942881,1736091522645
128688299,342.84000000,1.94500000,172942882,172942883,1736091522645
128688300,342.82000000,1.49800000,172942884,172942885,1736091522645
128688301,342.81000000,3.58600000,172942886,172942887,1736091522645
128688302,342.80000000,0.84700000,172942888,172942888,1736091522645
128688303,342.86000000,1.06800000,172942889,172942890,1736091525259
128688304,342.81000000,1.05700000,172942891,172942892,1736091525962
128688305,342.80000000,0.58300000,172942893,172942895,1736091526146
128688306,342.81000000,0.93400000,172942896,172942898,1736091527333
128688307,342.84000000,0.39800000,172942899,172942900,1736091528926
128688308,342.85000000,0.35200000,172942901,172942901,1736091528933
128688309,342.88000000,0.27800000,172942902,172942902,1736091532700
128688310,342.89000000,3.98500000,172942903,172942906,1736091532824
128688311,342.88000000,1.30100000,172942907,172942908,1736091532824
128688312,342.89000000,0.39900000,172942909,172942909,1736091533401
128688313,342.88000000,0.94500000,172942910,172942910,1736091533401
128688314,342.87000000,2.96600000,172942911,172942914,1736091533401
128688315,342.86000000,1.11500000,172942915,172942915,1736091533401
128688316,342.85000000,0.28400000,172942916,172942917,1736091533401
128688317,342.84000000,0.94500000,172942918,172942918,1736091533401
128688318,342.83000000,0.18300000,172942919,172942919,1736091533401
128688319,342.82000000,4.50200000,172942920,172942922,1736091533401
128688320,342.81000000,0.81600000,172942923,172942923,1736091533401
128688321,342.82000000,0.02000000,172942924,172942924,1736091533421
128688322,342.83000000,0.04400000,172942925,172942925,1736091533509
128688323,342.87000000,0.88200000,172942926,172942926,1736091537075
128688324,342.88000000,0.88300000,172942927,172942927,1736091537075
128688325,342.87000000,0.03700000,172942928,172942928,1736091538075
128688326,342.87000000,0.60800000,172942929,172942930,1736091540167
128688327,342.83000000,0.31600000,172942931,172942931,1736091540448
128688328,342.90000000,0.78300000,172942932,172942934,1736091545089
128688329,342.86000000,1.38800000,172942935,172942937,1736091549766
128688330,342.85000000,1.22100000,172942938,172942938,1736091549766
128688331,342.84000000,2.22700000,172942939,172942941,1736091549766
128688332,342.83000000,0.99700000,172942942,172942942,1736091549766
128688333,342.84000000,0.94900000,172942943,172942944,1736091551503
128688334,342.84000000,0.59600000,172942945,172942946,1736091553925
128688335,342.84000000,1.05200000,172942947,172942948,1736091554262
128688336,342.87000000,0.16300000,172942949,172942949,1736091562398
